time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
5.213315520000000000e+13	9.865222820939152371e+02	3.216109744202983742e-11	0.000000000000000000e+00	1.069529284142812714e+07
5.216471280000000000e+13	9.860603986694201240e+02	3.215770725803210624e-11	0.000000000000000000e+00	1.069483500594898500e+07
5.219627040000000000e+13	9.856008171643917422e+02	3.215433684369156632e-11	0.000000000000000000e+00	1.069438045189668611e+07
5.222782800000000000e+13	9.851435316385901615e+02	3.215617708753342079e-11	0.000000000000000000e+00	1.069392437370708585e+07
5.225938560000000000e+13	9.846882427766657884e+02	3.215442655849025084e-11	0.000000000000000000e+00	1.069347200679525360e+07
5.229094320000000000e+13	9.842353588577809660e+02	3.215104507711994435e-11	0.000000000000000000e+00	1.069302062819771841e+07
5.232250080000000000e+13	9.837848237413397783e+02	3.214903457570327417e-11	0.000000000000000000e+00	1.069257252260367200e+07
5.235405840000000000e+13	9.833366018479484865e+02	3.214548163038184244e-11	0.000000000000000000e+00	1.069212636301404238e+07
5.238561600000000000e+13	9.828906696449299716e+02	3.214172430346066695e-11	0.000000000000000000e+00	1.069168364239136875e+07
5.241717360000000000e+13	9.824470106471651434e+02	3.213849262454084672e-11	0.000000000000000000e+00	1.069124455856050923e+07
5.244873120000000000e+13	9.820056124821417143e+02	3.213568138205528581e-11	0.000000000000000000e+00	1.069080860273631848e+07
5.248028880000000000e+13	9.815664651671128240e+02	3.213249191480341531e-11	0.000000000000000000e+00	1.069037536796992086e+07
5.251184640000000000e+13	9.811295600980043901e+02	3.212932030635211544e-11	0.000000000000000000e+00	1.068994522035272233e+07
5.254340400000000000e+13	9.806948894562605119e+02	3.213057141064195331e-11	0.000000000000000000e+00	1.068950968568710610e+07
5.257496160000000000e+13	9.802624458610989677e+02	3.212741548080519701e-11	0.000000000000000000e+00	1.068908139696423709e+07
5.260651920000000000e+13	9.798322221658668241e+02	3.212427665810330665e-11	0.000000000000000000e+00	1.068865616292904690e+07
5.263807680000000000e+13	9.794042113390057693e+02	3.212057743434793677e-11	0.000000000000000000e+00	1.068823396702310070e+07
5.266963440000000000e+13	9.789784063946984816e+02	3.211820027462373981e-11	0.000000000000000000e+00	1.068781650967845321e+07
5.270119200000000000e+13	9.785550937368220730e+02	3.211503519633638930e-11	0.000000000000000000e+00	1.068740019522555545e+07
5.273274960000000000e+13	9.781338518403318858e+02	3.211199486853657383e-11	0.000000000000000000e+00	1.068698694431526400e+07
5.276430720000000000e+13	9.777147236988909071e+02	3.210836180066926398e-11	0.000000000000000000e+00	1.068657663619905896e+07
5.279586480000000000e+13	9.772977316136084482e+02	3.210614757180558628e-11	0.000000000000000000e+00	1.068617493979603052e+07
5.282742240000000000e+13	9.768831789404753181e+02	3.210314808812102956e-11	0.000000000000000000e+00	1.068577029139529355e+07
5.285898000000000000e+13	9.764706543126761744e+02	3.210016555880726783e-11	0.000000000000000000e+00	1.068536854625476152e+07
5.289053760000000000e+13	9.760602065061113990e+02	3.209719996597155078e-11	0.000000000000000000e+00	1.068496968796399981e+07
5.292209520000000000e+13	9.756518611359369970e+02	3.209562801046648501e-11	0.000000000000000000e+00	1.068457370012994111e+07
5.295365280000000000e+13	9.752456302056069717e+02	3.209218673048010117e-11	0.000000000000000000e+00	1.068417923382299207e+07
5.298521040000000000e+13	9.748415177122928981e+02	3.209293660836159200e-11	0.000000000000000000e+00	1.068379089423445798e+07
5.301676800000000000e+13	9.744395229375394365e+02	3.209012101983203763e-11	0.000000000000000000e+00	1.068339903298933990e+07
5.304832560000000000e+13	9.740396423792343512e+02	3.209047788485901182e-11	0.000000000000000000e+00	1.068300144009714760e+07
5.307988320000000000e+13	9.736418708860775268e+02	3.208941948781330325e-11	0.000000000000000000e+00	1.068260802151431888e+07
5.311144080000000000e+13	9.732462023239393147e+02	3.208666842679821405e-11	0.000000000000000000e+00	1.068221956456062756e+07
5.314299840000000000e+13	9.728526299674525717e+02	3.208392992430197603e-11	0.000000000000000000e+00	1.068183377041392401e+07
5.317455600000000000e+13	9.724611467303212748e+02	3.208082217128996678e-11	0.000000000000000000e+00	1.068145062691851705e+07
5.320611360000000000e+13	9.720717453009552855e+02	3.207813530670581124e-11	0.000000000000000000e+00	1.068107049147945642e+07
5.323767120000000000e+13	9.716844182225331679e+02	3.207742901772202433e-11	0.000000000000000000e+00	1.068069411471897736e+07
5.326922880000000000e+13	9.712994509807924715e+02	3.207478714890195455e-11	0.000000000000000000e+00	1.068031726358106360e+07
5.330078640000000000e+13	9.709164218390925498e+02	3.207465125863622479e-11	0.000000000000000000e+00	1.067994591227091663e+07
