time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
2.108400000000000000e+05	1.480620366216343076e-01	2.822316843644169264e-06	-1.218634545083866602e-08	1.723390273302247578e-03
2.109000000000000000e+05	1.480630447177964937e-01	2.822307347365833672e-06	-1.218632637551674813e-08	1.723382037827399932e-03
2.109600000000000000e+05	1.480640877747567419e-01	2.822257224865191967e-06	-1.218627072431070023e-08	1.723373817036934035e-03
2.110200000000000000e+05	1.480651816033619617e-01	2.822199171330488026e-06	-1.218618463063615436e-08	1.723365673682829063e-03
2.110800000000000000e+05	1.480663387397359310e-01	2.822217144433199111e-06	-1.218607288937413130e-08	1.723357620051458108e-03
2.111400000000000000e+05	1.480675688736817486e-01	2.822189455981809683e-06	-1.218593991902265908e-08	1.723349538855941960e-03
2.112000000000000000e+05	1.480688792287705446e-01	2.822214608362018815e-06	-1.218578942776661990e-08	1.723341500595223673e-03
2.112600000000000000e+05	1.480702748992482887e-01	2.822211062483756985e-06	-1.218629273297018479e-08	1.723333423750881459e-03
2.113200000000000000e+05	1.480717591483645679e-01	2.822294070701214898e-06	-1.218673020554245940e-08	1.723325351601907689e-03
2.113800000000000000e+05	1.480733336722528104e-01	2.822394031055605510e-06	-1.218712136635205212e-08	1.723317150677174331e-03
2.114400000000000000e+05	1.480749988330635758e-01	2.822416006773241245e-06	-1.218746953248884799e-08	1.723308794887077819e-03
2.115000000000000000e+05	1.480767538646685089e-01	2.822372861971366362e-06	-1.218777776656610575e-08	1.723300404646138520e-03
2.115600000000000000e+05	1.480785970539068019e-01	2.822291671300614563e-06	-1.218804864630519544e-08	1.723292534216944519e-03
2.116200000000000000e+05	1.480805259000356477e-01	2.822341357272861981e-06	-1.218828476418678638e-08	1.723284334960383489e-03
2.116800000000000000e+05	1.480825372547671381e-01	2.822266244354301189e-06	-1.218848792833207885e-08	1.723276058662585571e-03
2.117400000000000000e+05	1.480846274450234867e-01	2.822182786396794574e-06	-1.218866017367256167e-08	1.723267897967700095e-03
2.118000000000000000e+05	1.480867923803183550e-01	2.822196945328409167e-06	-1.218880333592348057e-08	1.723259865801704841e-03
2.118600000000000000e+05	1.480890276464692790e-01	2.822141634752571928e-06	-1.218891907414287156e-08	1.723251811564312794e-03
2.119200000000000000e+05	1.480913285871310325e-01	2.822123661337772824e-06	-1.218900888885114590e-08	1.723243842505190349e-03
2.119800000000000000e+05	1.480936903744866640e-01	2.822104217259699027e-06	-1.218907413739387877e-08	1.723235901044535253e-03
2.120400000000000000e+05	1.480961080702966615e-01	2.822151721753693673e-06	-1.218911633491108646e-08	1.723227989489855205e-03
2.121000000000000000e+05	1.480985766783862179e-01	2.822135599621036630e-06	-1.218913681825272928e-08	1.723220410912296077e-03
2.121600000000000000e+05	1.481010911895393745e-01	2.822135391078288927e-06	-1.218913678342364439e-08	1.723212450830732779e-03
2.122200000000000000e+05	1.481036466196718471e-01	2.822070389161189628e-06	-1.218911813209349149e-08	1.723219551028525335e-03
2.122800000000000000e+05	1.481062420930803758e-01	2.822013795906220649e-06	-1.218908329598927177e-08	1.723211691610441760e-03
2.123400000000000000e+05	1.481088645419495198e-01	2.822009541763805639e-06	-1.218903234153083061e-08	1.723203919582457682e-03
2.124000000000000000e+05	1.481115135826295559e-01	2.821947807166873881e-06	-1.218897584359132612e-08	1.723196154198237701e-03
2.124600000000000000e+05	1.481141843743274955e-01	2.821908244074760694e-06	-1.218891277528608776e-08	1.723188484171805576e-03
2.125200000000000000e+05	1.481168725045947931e-01	2.821914656854894945e-06	-1.218884225632041526e-08	1.723180875297589554e-03
2.125800000000000000e+05	1.481195736474013036e-01	2.821862426328436076e-06	-1.218876353800615481e-08	1.723173256635819519e-03
2.126400000000000000e+05	1.481222836456657643e-01	2.821826799785664291e-06	-1.218868491005633213e-08	1.723165718699188297e-03
2.127000000000000000e+05	1.481249985083392950e-01	2.821815362842515147e-06	-1.218862002792669823e-08	1.723158235863795533e-03
